min_evidence,threshold,accuracy norm,accuracy prov,accuracy avg,true positive norm,true negative norm,false positive norm,false negative norm,true positive prov,true negative prov,false positive prov,false negative prov,true positive avg,true negative avg,false positive avg,false negative avg
6,7.0,0.377454865698,0.377454865698,0.377366798767,1570.0,2716.0,999.0,6070.0,1570.0,2716.0,999.0,6070.0,1571.0,2714.0,1001.0,6069.0
6,7.5,0.46094231616,0.46094231616,0.437692646411,971.0,4263.0,725.0,5396.0,971.0,4263.0,725.0,5396.0,1277.0,3693.0,1295.0,5090.0
6,8.0,0.542051959489,0.542051959489,0.49440774989,25.0,6130.0,8.0,5192.0,25.0,6130.0,8.0,5192.0,1024.0,4590.0,1548.0,4193.0
6,8.5,0.671950682519,0.671950682519,0.574724790841,0.0,7630.0,0.0,3725.0,0.0,7630.0,0.0,3725.0,734.0,5792.0,1838.0,2991.0
6,9.0,0.858740642889,0.858740642889,0.68630559225,0.0,9751.0,0.0,1604.0,0.0,9751.0,0.0,1604.0,307.0,7486.0,2265.0,1297.0
6,9.5,0.997886393659,0.997886393659,0.771906649053,0.0,11331.0,0.0,24.0,0.0,11331.0,0.0,24.0,3.0,8762.0,2569.0,21.0
6,10.0,1.0,1.0,0.773491853809,0.0,11355.0,0.0,0.0,0.0,11355.0,0.0,0.0,0.0,8783.0,2572.0,0.0
7,6.0,0.226508146191,0.226508146191,0.226508146191,2572.0,0.0,0.0,8783.0,2572.0,0.0,0.0,8783.0,2572.0,0.0,0.0,8783.0
7,6.5,0.226508146191,0.226508146191,0.226508146191,2572.0,0.0,0.0,8783.0,2572.0,0.0,0.0,8783.0,2572.0,0.0,0.0,8783.0
7,7.0,0.377454865698,0.377454865698,0.377366798767,1570.0,2716.0,999.0,6070.0,1570.0,2716.0,999.0,6070.0,1571.0,2714.0,1001.0,6069.0
7,7.5,0.46094231616,0.46094231616,0.437692646411,971.0,4263.0,725.0,5396.0,971.0,4263.0,725.0,5396.0,1277.0,3693.0,1295.0,5090.0
7,8.0,0.542051959489,0.542051959489,0.49440774989,25.0,6130.0,8.0,5192.0,25.0,6130.0,8.0,5192.0,1024.0,4590.0,1548.0,4193.0
7,8.5,0.671950682519,0.671950682519,0.574724790841,0.0,7630.0,0.0,3725.0,0.0,7630.0,0.0,3725.0,734.0,5792.0,1838.0,2991.0
7,9.0,0.858740642889,0.858740642889,0.68630559225,0.0,9751.0,0.0,1604.0,0.0,9751.0,0.0,1604.0,307.0,7486.0,2265.0,1297.0
7,9.5,0.997886393659,0.997886393659,0.771906649053,0.0,11331.0,0.0,24.0,0.0,11331.0,0.0,24.0,3.0,8762.0,2569.0,21.0
7,10.0,1.0,1.0,0.773491853809,0.0,11355.0,0.0,0.0,0.0,11355.0,0.0,0.0,0.0,8783.0,2572.0,0.0
8,6.0,0.226508146191,0.226508146191,0.226508146191,2572.0,0.0,0.0,8783.0,2572.0,0.0,0.0,8783.0,2572.0,0.0,0.0,8783.0
8,6.5,0.226508146191,0.226508146191,0.226508146191,2572.0,0.0,0.0,8783.0,2572.0,0.0,0.0,8783.0,2572.0,0.0,0.0,8783.0
8,7.0,0.377454865698,0.377454865698,0.377366798767,1570.0,2716.0,999.0,6070.0,1570.0,2716.0,999.0,6070.0,1571.0,2714.0,1001.0,6069.0
8,7.5,0.46094231616,0.46094231616,0.437692646411,971.0,4263.0,725.0,5396.0,971.0,4263.0,725.0,5396.0,1277.0,3693.0,1295.0,5090.0
8,8.0,0.542051959489,0.542051959489,0.49440774989,25.0,6130.0,8.0,5192.0,25.0,6130.0,8.0,5192.0,1024.0,4590.0,1548.0,4193.0
8,8.5,0.671950682519,0.671950682519,0.574724790841,0.0,7630.0,0.0,3725.0,0.0,7630.0,0.0,3725.0,734.0,5792.0,1838.0,2991.0
8,9.0,0.858740642889,0.858740642889,0.68630559225,0.0,9751.0,0.0,1604.0,0.0,9751.0,0.0,1604.0,307.0,7486.0,2265.0,1297.0
8,9.5,0.997886393659,0.997886393659,0.771906649053,0.0,11331.0,0.0,24.0,0.0,11331.0,0.0,24.0,3.0,8762.0,2569.0,21.0
8,10.0,1.0,1.0,0.773491853809,0.0,11355.0,0.0,0.0,0.0,11355.0,0.0,0.0,0.0,8783.0,2572.0,0.0
